route,free_flow,travel_time
"""US26 EB Cedar Hills Blvd TO I-405""","""9 min""","""9 min"""
"""US26 EB NW 185th Ave TO ORE217""","""7 min""","""7 min"""
"""US26 EB NW 185th Ave TO I-405""","""14 min""","""14 min"""
"""US26 EB Rhododendron TO Frog Lake""",null,"""22 min"""
"""US26 EB Rhododendron TO Timberline Hwy""",null,"""14 min"""
"""US26 EB Sandy TO Government Camp""",null,"""36 min"""
"""US26 EB Sandy TO Frog Lake""",null,"""42 min"""
"""US26 EB Zoo Bridge TO I-205 via I-84""","""13 min""","""13 min"""
"""US26 EB Zoo Bridge TO SR14""","""12 min""","""12 min"""
"""WB""","""WB""","""WB"""
"""US26 WB Cedar Hills Blvd TO NW 185th Ave""","""6 min""","""6 min"""
"""US26 WB Frog Lake TO Hood River""",null,"""46 min"""
"""US26 WB Frog Lake TO Rhododendron""",null,"""19 min"""
"""US26 WB Timberline Hwy TO Hood River""",null,"""46 min"""
"""US26 WB Timberline Hwy TO Rhododendron""",null,"""12 min"""
"""US26 WB Zoo Bridge TO ORE217""","""4 min""",null
"""I-205 NB""","""I-205 NB""","""I-205 NB"""
"""I-205 NB NE Airport Way TO""",null,"""Data Not Available."""
"""I-205 NB SE Gladstone TO SE Powell Blvd""",null,"""8 min"""
"""I-205 NB SE Gladstone TO I-84""",null,"""10 min"""
"""I-205 NB SE Stark St TO I-5 via I-84 WB""",null,"""7 min"""
"""I-205 NB SE Stark St TO NE Airport Way""",null,"""4 min"""
"""SB""","""SB""","""SB"""
"""I-205 SB NE Airport Way TO I-5 via I-84 WB""","""10 min""","""10 min"""
"""I-205 SB NE Airport Way TO OR224""","""12 min""","""12 min"""
"""I-205 SB SE Gladstone TO I-5""",null,"""12 min"""
"""NB""","""NB""","""NB"""
"""I-5 NB Carman Dr TO I-405""","""11 min""","""11 min"""
"""I-5 NB Carman Dr TO US26 via OR217 NB""","""10 min""","""10 min"""
"""I-5 NB NE Columbia Blvd TO SR500""","""6 min""","""6 min"""
"""I-5 NB SW Iowa St TO I-205 via I-84 EB""","""10 min""","""10 min"""
"""I-5 NB SW Iowa St TO SR14""","""12 min""","""12 min"""
"""I-5 NB SW Wilsonville Rd TO ORE99E via I-205 NB""",null,"""12 min"""
"""I-5 NB SW Wilsonville Rd TO 217""",null,"""7 min"""
"""SB""","""SB""","""SB"""
"""I-5 SB Carman Dr TO I-205""","""3 min""","""3 min"""
"""I-5 SB Carman Dr TO Wilsonville""","""8 min""","""8 min"""
"""I-5 SB NE Columbia Blvd TO I-84""","""5 min""","""5 min"""
"""I-5 SB NE Columbia Blvd TO ORE217""","""16 min""","""16 min"""
"""I-5 SB NE Columbia Blvd TO US26 via I-405 SB""","""6 min""","""6 min"""
"""I-5 SB SW Terwilliger Blvd TO ORE217""","""7 min""","""7 min"""
"""I-5 SB SW Terwilliger Blvd TO I-205""","""11 min""","""11 min"""
"""EB""","""EB""","""EB"""
"""I-84 EB at Exit 216 / OR331 TO I-84 EB at La Grande""","""38 min""","""49 min"""
"""I-84 EB at MP 265 La Grande TO I-84 EB at North Powder""","""18 min""","""20 min"""
"""I-84 EB at North Powder TO I-84 EB at Baker City""","""15 min""","""17 min"""
"""I-84 EB NE 28th Ave TO NE Airport Way via I-205 NB""","""10 min""","""10 min"""
"""I-84 EB Troutdale TO Hood River""","""46 min""","""46 min"""
"""WB""","""WB""","""WB"""
"""I-84 WB at Baker City TO I-84 WB at North Powder""","""15 min""","""18 min"""
"""I-84 WB at La Grande TO I-84 WB at Exit 216 / OR331""","""38 min""","""47 min"""
"""I-84 WB at North Powder TO I-84 WB at Exit 265 La Grande""","""18 min""","""21 min"""
"""I-84 WB Hood River TO Troutdale""","""63 min""","""64 min"""
"""I-84 WB NE 223rd Ave TO I-5""","""14 min""","""14 min"""
"""I-84 WB NE 223rd Ave TO I-205""","""7 min""","""7 min"""
"""I-84 WB NE 28th Ave TO SR14 via I-5 NB""","""10 min""","""10 min"""
"""I-84 WB NE 28th Ave TO ORE217 via I-5 SB""","""14 min""","""14 min"""
"""OR126 WB""","""OR126 WB""","""OR126 WB"""
"""OR126 WB 52nd St. TO I-5""","""6 min""","""6 min"""
"""OR35 SB""","""OR35 SB""","""OR35 SB"""
"""OR35 SB Parkdale TO Mt. Hood Meadows Dr.""",null,"""21 min"""
"""OR35 SB Parkdale TO Government Camp""",null,"""31 min"""
"""NB""","""NB""","""NB"""
"""ORE217 NB Allen Blvd TO NW 185th/US26 WB""","""10 min""","""10 min"""
"""ORE217 NB N. of OR99W TO US26""","""6 min""",null
"""ORE217 NB N. of OR99W TO NW 185th/US26 WB""","""13 min""",null
"""ORE217 NB SW Walker Rd TO I-405 via US26 EB""","""8 min""","""8 min"""
"""ORE217 NB SW Walker Rd TO NW 185th/US26 WB""","""9 min""","""9 min"""
"""SB""","""SB""","""SB"""
"""ORE217 SB N. of OR99W TO I-405 via I-5 NB""","""11 min""","""11 min"""
"""ORE217 SB N. of OR99W TO I205 via I-5 SB""","""7 min""","""7 min"""
"""ORE217 SB SW Walker Rd TO I-5""","""8 min""",null
"""ORE217 SB SW Walker Rd TO 99W""","""6 min""","""6 min"""
"""ORE217 SB SW Walker Rd TO I-205 via I-5 SB""","""12 min""",null
"""EB""","""EB""","""EB"""
"""ORE569 EB NW Expressway TO Delta""","""3 min""","""3 min"""
"""ORE569 EB NW Expressway TO I-5""","""6 min""","""6 min"""
"""WB""","""WB""","""WB"""
"""ORE569 WB I-5 TO W 11th / OR126""","""10 min""","""10 min"""
"""ORE569 WB I-5 TO River Rd""","""4 min""","""4 min"""
null,null,null
"""ORE99W at SW Durham Rd TO ORE217 via OR99W""","""6 min""",null
"""ORE99W at SW Durham Rd TO I-5 SB Exit 291 via Durham Rd (Wash County)""","""6 min""",null
"""ORE99W at SW Durham Rd TO I-5 via OR99W""","""6 min""",null
"""ORE99W at SW Durham Rd TO I-5 NB Exit 291 via Durham Rd (Wash County)""","""6 min""",null
"""ORE99W at SW Tualatin Sherwood Rd TO I-5 via Tualatin Sherwood Rd (Washington County)""","""7 min""",null
"""ORE99W at SW Tualatin Sherwood Rd TO Scholls Ferry Rd via Roy Rogers Rd (Wash County)""","""6 min""",null
"""ORE99W at SW Tualatin Sherwood Rd TO ORE217 via OR99W (Washington County)""","""9 min""",null
"""ORE99W at SW Tualatin Sherwood Rd TO I-5 via OR99W (Washington County)""","""11 min""",null
"""ORE99W NB Dundee TO ORE99W via OR18""","""7 min""","""11 min"""
"""ORE99W NB Dundee TO ORE99W via OR99W North of Newberg""","""8 min""","""10 min"""
"""ORE99W SB Newberg TO ORE99W via OR99W""","""8 min""","""12 min"""
"""ORE99W SB Newberg TO ORE99W via OR18""","""7 min""","""13 min"""
"""SW Scholls Ferry Rd at Roy Rogers Rd TO ORE99W via Roy Rogers Rd (Washington County)""","""6 min""",null
"""SW Scholls Ferry Rd at Roy Rogers Rd TO ORE217 via Scholls Ferry Rd (Washington County)""","""6 min""",null
"""TV Hwy SW Cornelius Pass Rd TO US26 EB""","""7 min""",null
"""TV Hwy SW Cornelius Pass Rd TO ORE217 NB""","""8 min""",null
"""EB""","""EB""","""EB"""
"""US26 EB Cedar Hills Blvd TO I-405""","""9 min""","""9 min"""
"""US26 EB Cedar Hills Blvd TO I-5 via ORE217 SB""","""10 min""",null
"""US26 EB NW 185th Ave TO ORE217""","""7 min""","""7 min"""
"""US26 EB NW 185th Ave TO I-405""","""14 min""","""14 min"""
"""US26 EB Rhododendron TO Timberline Hwy""",null,"""14 min"""
"""US26 EB Rhododendron TO Frog Lake""",null,"""21 min"""
"""US26 EB Sandy TO Government Camp""",null,"""34 min"""
"""US26 EB Sandy TO Frog Lake""",null,"""40 min"""
"""US26 EB Zoo Bridge TO I-205 via I-84""","""13 min""","""13 min"""
"""US26 EB Zoo Bridge TO SR14""","""12 min""","""12 min"""
"""WB""","""WB""","""WB"""
"""US26 WB Cedar Hills Blvd TO NW 185th Ave""","""6 min""","""6 min"""
"""US26 WB Frog Lake TO Rhododendron""",null,"""18 min"""
"""US26 WB Frog Lake TO Hood River""",null,"""45 min"""
"""US26 WB Timberline Hwy TO Hood River""",null,"""45 min"""
"""US26 WB Timberline Hwy TO Rhododendron""",null,"""11 min"""
"""US26 WB Zoo Bridge TO ORE217""","""4 min""","""5 min"""
"""I-205 NB""","""I-205 NB""","""I-205 NB"""
"""I-205 NB NE Airport Way TO""",null,"""Data Not Available."""
"""I-205 NB SE Gladstone TO I-84""",null,"""10 min"""
"""I-205 NB SE Gladstone TO SE Powell Blvd""",null,"""8 min"""
"""I-205 NB SE Stark St TO I-5 via I-84 WB""",null,"""7 min"""
"""I-205 NB SE Stark St TO NE Airport Way""",null,"""4 min"""
"""SB""","""SB""","""SB"""
"""I-205 SB NE Airport Way TO I-5 via I-84 WB""","""10 min""","""10 min"""
"""I-205 SB NE Airport Way TO OR224""","""12 min""","""12 min"""
"""I-205 SB SE Gladstone TO I-5""",null,"""11 min"""
"""NB""","""NB""","""NB"""
"""I-5 NB Carman Dr TO I-405""","""11 min""","""11 min"""
"""I-5 NB Carman Dr TO US26 via OR217 NB""","""10 min""","""10 min"""
"""I-5 NB NE Columbia Blvd TO SR500""","""6 min""","""6 min"""
"""I-5 NB SW Iowa St TO I-205 via I-84 EB""","""10 min""","""10 min"""
"""I-5 NB SW Iowa St TO SR14""","""12 min""","""12 min"""
"""I-5 NB SW Wilsonville Rd TO 217""",null,"""7 min"""
"""I-5 NB SW Wilsonville Rd TO ORE99E via I-205 NB""",null,"""11 min"""
"""SB""","""SB""","""SB"""
"""I-5 SB Carman Dr TO I-205""","""3 min""","""3 min"""
"""I-5 SB Carman Dr TO Wilsonville""","""8 min""","""8 min"""
"""I-5 SB NE Columbia Blvd TO US26 via I-405 SB""","""6 min""","""6 min"""
"""I-5 SB NE Columbia Blvd TO I-84""","""5 min""","""5 min"""
"""I-5 SB NE Columbia Blvd TO ORE217""","""16 min""","""16 min"""
"""I-5 SB SW Terwilliger Blvd TO ORE217""","""7 min""","""7 min"""
"""I-5 SB SW Terwilliger Blvd TO I-205""","""11 min""","""11 min"""
"""EB""","""EB""","""EB"""
"""I-84 EB at Exit 216 / OR331 TO I-84 EB at La Grande""","""38 min""","""50 min"""
"""I-84 EB at MP 265 La Grande TO I-84 EB at North Powder""","""18 min""","""22 min"""
"""I-84 EB at North Powder TO I-84 EB at Baker City""","""15 min""","""18 min"""
"""I-84 EB NE 28th Ave TO NE Airport Way via I-205 NB""","""10 min""","""10 min"""
"""I-84 EB Troutdale TO Hood River""","""46 min""","""46 min"""
"""WB""","""WB""","""WB"""
"""I-84 WB at Baker City TO I-84 WB at North Powder""","""15 min""","""19 min"""
"""I-84 WB at La Grande TO I-84 WB at Exit 216 / OR331""","""38 min""","""45 min"""
"""I-84 WB at North Powder TO I-84 WB at Exit 265 La Grande""","""18 min""","""19 min"""
"""I-84 WB Hood River TO Troutdale""","""63 min""","""63 min"""
"""I-84 WB NE 223rd Ave TO I-5""","""14 min""","""14 min"""
"""I-84 WB NE 223rd Ave TO I-205""","""7 min""","""7 min"""
"""I-84 WB NE 28th Ave TO SR14 via I-5 NB""","""10 min""","""10 min"""
"""I-84 WB NE 28th Ave TO ORE217 via I-5 SB""","""14 min""","""14 min"""
"""OR126 WB""","""OR126 WB""","""OR126 WB"""
"""OR126 WB 52nd St. TO I-5""","""6 min""","""6 min"""
"""OR35 SB""","""OR35 SB""","""OR35 SB"""
"""OR35 SB Parkdale TO Government Camp""",null,"""29 min"""
"""OR35 SB Parkdale TO Mt. Hood Meadows Dr.""",null,"""20 min"""
"""NB""","""NB""","""NB"""
"""ORE217 NB Allen Blvd TO NW 185th/US26 WB""","""10 min""","""10 min"""
"""ORE217 NB N. of OR99W TO US26""","""6 min""",null
"""ORE217 NB N. of OR99W TO NW 185th/US26 WB""","""13 min""",null
"""ORE217 NB SW Walker Rd TO I-405 via US26 EB""","""8 min""","""8 min"""
"""ORE217 NB SW Walker Rd TO NW 185th/US26 WB""","""9 min""","""9 min"""
"""SB""","""SB""","""SB"""
"""ORE217 SB N. of OR99W TO I-405 via I-5 NB""","""11 min""","""11 min"""
"""ORE217 SB N. of OR99W TO I205 via I-5 SB""","""7 min""","""7 min"""
"""ORE217 SB SW Walker Rd TO I-5""","""8 min""",null
"""ORE217 SB SW Walker Rd TO I-205 via I-5 SB""","""12 min""",null
"""ORE217 SB SW Walker Rd TO 99W""","""6 min""","""6 min"""
"""EB""","""EB""","""EB"""
"""ORE569 EB NW Expressway TO Delta""","""3 min""","""3 min"""
"""ORE569 EB NW Expressway TO I-5""","""6 min""","""6 min"""
"""WB""","""WB""","""WB"""
"""ORE569 WB I-5 TO W 11th / OR126""","""10 min""","""10 min"""
"""ORE569 WB I-5 TO River Rd""","""4 min""","""4 min"""
null,null,null
"""ORE99W at SW Durham Rd TO ORE217 via OR99W""","""6 min""",null
"""ORE99W at SW Durham Rd TO I-5 SB Exit 291 via Durham Rd (Wash County)""","""6 min""",null
"""ORE99W at SW Durham Rd TO I-5 via OR99W""","""6 min""",null
"""ORE99W at SW Durham Rd TO I-5 NB Exit 291 via Durham Rd (Wash County)""","""6 min""",null
"""ORE99W at SW Tualatin Sherwood Rd TO I-5 via OR99W (Washington County)""","""11 min""",null
"""ORE99W at SW Tualatin Sherwood Rd TO I-5 via Tualatin Sherwood Rd (Washington County)""","""7 min""",null
"""ORE99W at SW Tualatin Sherwood Rd TO ORE217 via OR99W (Washington County)""","""9 min""",null
"""ORE99W at SW Tualatin Sherwood Rd TO Scholls Ferry Rd via Roy Rogers Rd (Wash County)""","""6 min""",null
"""ORE99W NB Dundee TO ORE99W via OR18""","""7 min""","""11 min"""
"""ORE99W NB Dundee TO ORE99W via OR99W North of Newberg""","""8 min""","""10 min"""
"""ORE99W SB Newberg TO ORE99W via OR99W""","""8 min""","""12 min"""
"""ORE99W SB Newberg TO ORE99W via OR18""","""7 min""","""13 min"""
"""SW Scholls Ferry Rd at Roy Rogers Rd TO ORE99W via Roy Rogers Rd (Washington County)""","""6 min""",null
"""ORE99W SB Newberg TO ORE99W via OR99W""","""8 min""","""14 min"""
"""SW Scholls Ferry Rd at Roy Rogers Rd TO ORE217 via Scholls Ferry Rd (Washington County)""","""6 min""",null
"""TV Hwy SW Cornelius Pass Rd TO US26 EB""","""7 min""",null
"""TV Hwy SW Cornelius Pass Rd TO ORE217 NB""","""8 min""",null
"""EB""","""EB""","""EB"""
"""US26 EB Cedar Hills Blvd TO I-5 via ORE217 SB""","""10 min""",null
"""US26 EB Cedar Hills Blvd TO I-405""","""9 min""","""9 min"""
"""US26 EB NW 185th Ave TO ORE217""","""7 min""","""7 min"""
"""US26 EB NW 185th Ave TO I-405""","""14 min""","""14 min"""
"""US26 EB Rhododendron TO Timberline Hwy""",null,"""12 min"""
"""US26 EB Rhododendron TO Frog Lake""",null,"""18 min"""
"""US26 EB Sandy TO Government Camp""",null,"""34 min"""
"""US26 EB Sandy TO Frog Lake""",null,"""39 min"""
"""US26 EB Zoo Bridge TO I-205 via I-84""","""13 min""","""13 min"""
"""US26 EB Zoo Bridge TO SR14""","""12 min""","""12 min"""
"""WB""","""WB""","""WB"""
"""US26 WB Cedar Hills Blvd TO NW 185th Ave""","""6 min""","""6 min"""
"""US26 WB Frog Lake TO Rhododendron""",null,"""17 min"""
"""US26 WB Frog Lake TO Hood River""",null,"""45 min"""
"""US26 WB Timberline Hwy TO Hood River""",null,"""45 min"""
"""US26 WB Timberline Hwy TO Rhododendron""",null,"""11 min"""
"""US26 WB Zoo Bridge TO ORE217""","""4 min""","""5 min"""
"""I-205 NB""","""I-205 NB""","""I-205 NB"""
"""I-205 NB NE Airport Way TO""",null,"""Data Not Available."""
"""I-205 NB SE Gladstone TO SE Powell Blvd""",null,"""8 min"""
"""I-205 NB SE Gladstone TO I-84""",null,"""10 min"""
"""I-205 NB SE Stark St TO I-5 via I-84 WB""",null,"""7 min"""
"""I-205 NB SE Stark St TO NE Airport Way""",null,"""4 min"""
"""SB""","""SB""","""SB"""
"""I-205 SB NE Airport Way TO OR224""","""12 min""","""12 min"""
"""I-205 SB NE Airport Way TO I-5 via I-84 WB""","""10 min""","""10 min"""
"""I-205 SB SE Gladstone TO I-5""",null,"""11 min"""
"""NB""","""NB""","""NB"""
"""I-5 NB Carman Dr TO I-405""","""11 min""","""11 min"""
"""I-5 NB Carman Dr TO US26 via OR217 NB""","""10 min""","""10 min"""
"""I-5 NB NE Columbia Blvd TO SR500""","""6 min""","""6 min"""
"""I-5 NB SW Iowa St TO I-205 via I-84 EB""","""10 min""","""10 min"""
"""I-5 NB SW Iowa St TO SR14""","""12 min""","""12 min"""
"""I-5 NB SW Wilsonville Rd TO ORE99E via I-205 NB""",null,"""11 min"""
"""I-5 NB SW Wilsonville Rd TO 217""",null,"""7 min"""
"""SB""","""SB""","""SB"""
"""I-5 SB Carman Dr TO I-205""","""3 min""","""3 min"""
"""I-5 SB Carman Dr TO Wilsonville""","""8 min""","""8 min"""
"""I-5 SB NE Columbia Blvd TO I-84""","""5 min""","""5 min"""
"""I-5 SB NE Columbia Blvd TO ORE217""","""16 min""","""16 min"""
"""I-5 SB NE Columbia Blvd TO US26 via I-405 SB""","""6 min""","""6 min"""
"""I-5 SB SW Terwilliger Blvd TO ORE217""","""7 min""","""7 min"""
"""I-5 SB SW Terwilliger Blvd TO I-205""","""11 min""","""11 min"""
"""EB""","""EB""","""EB"""
"""I-84 EB at Exit 216 / OR331 TO I-84 EB at La Grande""","""38 min""","""50 min"""
"""I-84 EB at MP 265 La Grande TO I-84 EB at North Powder""","""18 min""","""22 min"""
"""I-84 EB at North Powder TO I-84 EB at Baker City""","""15 min""","""18 min"""
"""I-84 EB NE 28th Ave TO NE Airport Way via I-205 NB""","""10 min""","""10 min"""
"""I-84 EB Troutdale TO Hood River""","""46 min""","""46 min"""
"""WB""","""WB""","""WB"""
"""I-84 WB at Baker City TO I-84 WB at North Powder""","""15 min""","""19 min"""
"""I-84 WB at La Grande TO I-84 WB at Exit 216 / OR331""","""38 min""","""46 min"""
"""I-84 WB at North Powder TO I-84 WB at Exit 265 La Grande""","""18 min""","""19 min"""
"""I-84 WB Hood River TO Troutdale""","""63 min""","""66 min"""
"""I-84 WB NE 223rd Ave TO I-5""","""14 min""","""14 min"""
"""I-84 WB NE 223rd Ave TO I-205""","""7 min""","""7 min"""
"""I-84 WB NE 28th Ave TO SR14 via I-5 NB""","""10 min""","""10 min"""
"""I-84 WB NE 28th Ave TO ORE217 via I-5 SB""","""14 min""","""14 min"""
"""OR126 WB""","""OR126 WB""","""OR126 WB"""
"""OR126 WB 52nd St. TO I-5""","""6 min""","""6 min"""
"""OR35 SB""","""OR35 SB""","""OR35 SB"""
"""OR35 SB Parkdale TO Mt. Hood Meadows Dr.""",null,"""21 min"""
"""OR35 SB Parkdale TO Government Camp""",null,"""30 min"""
"""NB""","""NB""","""NB"""
"""ORE217 NB Allen Blvd TO NW 185th/US26 WB""","""10 min""","""10 min"""
"""ORE217 NB N. of OR99W TO US26""","""6 min""",null
"""ORE217 NB N. of OR99W TO NW 185th/US26 WB""","""13 min""",null
"""ORE217 NB SW Walker Rd TO I-405 via US26 EB""","""8 min""","""8 min"""
"""ORE217 NB SW Walker Rd TO NW 185th/US26 WB""","""9 min""","""9 min"""
"""SB""","""SB""","""SB"""
"""ORE217 SB N. of OR99W TO I-405 via I-5 NB""","""11 min""","""11 min"""
"""ORE217 SB N. of OR99W TO I205 via I-5 SB""","""7 min""","""7 min"""
"""ORE217 SB SW Walker Rd TO 99W""","""6 min""","""6 min"""
"""ORE217 SB SW Walker Rd TO I-5""","""8 min""",null
"""ORE217 SB SW Walker Rd TO I-205 via I-5 SB""","""12 min""",null
"""EB""","""EB""","""EB"""
"""ORE569 EB NW Expressway TO Delta""","""3 min""","""3 min"""
"""ORE569 EB NW Expressway TO I-5""","""6 min""","""6 min"""
"""WB""","""WB""","""WB"""
"""ORE569 WB I-5 TO W 11th / OR126""","""10 min""","""10 min"""
"""ORE569 WB I-5 TO River Rd""","""4 min""","""4 min"""
null,null,null
"""ORE99W at SW Durham Rd TO ORE217 via OR99W""","""6 min""",null
"""ORE99W at SW Durham Rd TO I-5 SB Exit 291 via Durham Rd (Wash County)""","""6 min""",null
"""ORE99W at SW Durham Rd TO I-5 NB Exit 291 via Durham Rd (Wash County)""","""6 min""",null
"""ORE99W at SW Durham Rd TO I-5 via OR99W""","""6 min""",null
"""ORE99W at SW Tualatin Sherwood Rd TO I-5 via Tualatin Sherwood Rd (Washington County)""","""7 min""",null
"""ORE99W at SW Tualatin Sherwood Rd TO ORE217 via OR99W (Washington County)""","""9 min""",null
"""ORE99W at SW Tualatin Sherwood Rd TO I-5 via OR99W (Washington County)""","""11 min""",null
"""ORE99W at SW Tualatin Sherwood Rd TO Scholls Ferry Rd via Roy Rogers Rd (Wash County)""","""6 min""",null
"""ORE99W NB Dundee TO ORE99W via OR18""","""7 min""","""10 min"""
"""ORE99W NB Dundee TO ORE99W via OR99W North of Newberg""","""8 min""","""10 min"""
"""ORE99W SB Newberg TO ORE99W via OR99W""","""8 min""","""13 min"""
"""ORE99W SB Newberg TO ORE99W via OR18""","""7 min""","""14 min"""
"""SW Scholls Ferry Rd at Roy Rogers Rd TO ORE99W via Roy Rogers Rd (Washington County)""","""6 min""",null
"""SW Scholls Ferry Rd at Roy Rogers Rd TO ORE217 via Scholls Ferry Rd (Washington County)""","""6 min""",null
"""TV Hwy SW Cornelius Pass Rd TO US26 EB""","""7 min""",null
"""TV Hwy SW Cornelius Pass Rd TO ORE217 NB""","""8 min""",null
"""EB""","""EB""","""EB"""
"""US26 EB Cedar Hills Blvd TO I-405""","""9 min""","""9 min"""
"""US26 EB Cedar Hills Blvd TO I-5 via ORE217 SB""","""10 min""","""10 min"""
"""US26 EB NW 185th Ave TO I-405""","""14 min""","""14 min"""
"""US26 EB NW 185th Ave TO ORE217""","""7 min""","""7 min"""
"""US26 EB Rhododendron TO Frog Lake""",null,"""19 min"""
"""US26 EB Rhododendron TO Timberline Hwy""",null,"""13 min"""
"""US26 EB Sandy TO Government Camp""",null,"""35 min"""
"""US26 EB Sandy TO Frog Lake""",null,"""40 min"""
"""US26 EB Zoo Bridge TO I-205 via I-84""","""13 min""","""13 min"""
"""US26 EB Zoo Bridge TO SR14""","""12 min""","""12 min"""
"""WB""","""WB""","""WB"""
"""US26 WB Cedar Hills Blvd TO NW 185th Ave""","""6 min""","""6 min"""
"""US26 WB Frog Lake TO Rhododendron""",null,"""18 min"""
"""US26 WB Frog Lake TO Hood River""",null,"""46 min"""
"""US26 WB Timberline Hwy TO Hood River""",null,"""45 min"""
"""US26 WB Timberline Hwy TO Rhododendron""",null,"""11 min"""
"""US26 WB Zoo Bridge TO ORE217""","""4 min""","""5 min"""
"""I-205 NB""","""I-205 NB""","""I-205 NB"""
"""I-205 NB NE Airport Way TO""",null,"""Data Not Available."""
"""I-205 NB SE Gladstone TO SE Powell Blvd""",null,"""8 min"""
"""I-205 NB SE Gladstone TO I-84""",null,"""10 min"""
"""I-205 NB SE Stark St TO I-5 via I-84 WB""",null,"""8 min"""
"""I-205 NB SE Stark St TO NE Airport Way""",null,"""4 min"""
"""SB""","""SB""","""SB"""
"""I-205 SB NE Airport Way TO OR224""","""12 min""","""12 min"""
"""I-205 SB NE Airport Way TO I-5 via I-84 WB""","""10 min""","""10 min"""
"""I-205 SB SE Gladstone TO I-5""",null,"""11 min"""
"""NB""","""NB""","""NB"""
"""I-5 NB Carman Dr TO I-405""","""11 min""","""11 min"""
"""I-5 NB Carman Dr TO US26 via OR217 NB""","""10 min""","""11 min"""
"""I-5 NB NE Columbia Blvd TO SR500""","""6 min""","""6 min"""
"""I-5 NB SW Iowa St TO I-205 via I-84 EB""","""10 min""","""10 min"""
"""I-5 NB SW Iowa St TO SR14""","""12 min""","""12 min"""
"""I-5 NB SW Wilsonville Rd TO 217""",null,"""7 min"""
"""I-5 NB SW Wilsonville Rd TO ORE99E via I-205 NB""",null,"""12 min"""
"""SB""","""SB""","""SB"""
"""I-5 SB Carman Dr TO I-205""","""3 min""","""3 min"""
"""I-5 SB Carman Dr TO Wilsonville""","""8 min""","""8 min"""
